Description,Price,ReviewCount,Url,Website Source
"Dell 5401 Laptop, Core i7-9850H 2.6GHz, 32GB, 1TB SSD-2.5, 14inch FHD TouchScreen, Win11P64, Webcam, Manufacturer Refurbished",$639.99,,https://www.target.com/p/dell-5401-laptop-core-i7-9850h-2-6ghz-32gb-1tb-ssd-2-5-14inch-fhd-touchscreen-win11p64-webcam-a-grade-manufacturer-refurbished/-/A-89691887#lnk=sametab,Target
"Dell Precision 3541, Core i7-9850H 2.6GHz, 32GB, 2TB NVMe, 15.6"" FHD, Win11P64, Webcam, NVIDIA Quadro P620 4GB, New WD Black SSD, Manufacturer",$738.99,,https://www.target.com/p/dell-precision-3541-core-i7-9850h-2-6ghz-32gb-2tb-nvme-15-6-fhd-win11p64-webcam-nvidia-quadro-p620-4gb-new-wd-black-ssd-manufacturer/-/A-93712110#lnk=sametab,Target
"Dell Precision 7730 Laptop, Core i7-8850H 2.6GHz, 32GB, 512GB SSD, 17.3"" FHD, Win11P64, CAM, NVIDIA Quadro P3200 6GB, Manufacturer Refurbished","$1,129.99",,https://www.target.com/p/dell-precision-7730-laptop-core-i7-8850h-2-6ghz-32gb-512gb-ssd-17-3-fhd-win11p64-cam-nvidia-quadro-p3200-6gb-manufacturer-refurbished/-/A-89441149#lnk=sametab,Target
"Dell Precision 3541 Core i5-9400H 2.5GHz, 16GB, 256GB SSD, 15.6"" HD, Windows 11 Pro, Webcam, Manufacturer Refurbished",$456.99,,https://www.target.com/p/dell-precision-3541-core-i5-9400h-2-5ghz-16gb-256gb-ssd-15-6-hd-windows-11-pro-webcam-manufacturer-refurbished/-/A-92933617#lnk=sametab,Target
"Dell Precision 7540 Laptop, Core i5-9400H 2.5GHz, 32GB, 1TB SSD, 15.6"" FHD, Win11P64, CAM, NVIDIA Quadro T1000 4GB, Manufacturer Refurbished",$799.99,,https://www.target.com/p/dell-precision-7540-laptop-core-i5-9400h-2-5ghz-32gb-1tb-ssd-15-6-fhd-win11p64-cam-nvidia-quadro-t1000-4gb-manufacturer-refurbished/-/A-89441074#lnk=sametab,Target
"Dell Latitude 7430, Core i7-1265U 1.8GHz, 32GB, 2TB NVMe, 14"" FHD, Win11P64, Webcam, Touchscreen, New WD Black SSD, Manufacturer Refurbished",$907.99,,https://www.target.com/p/dell-latitude-7430-core-i7-1265u-1-8ghz-32gb-2tb-nvme-14-fhd-win11p64-webcam-touch-new-wd-black-ssd-manufacturer-refurbished/-/A-93712140#lnk=sametab,Target
"Dell Latitude 9410 2-in-1, Core i7-10610U 1.8GHz, 16GB, 1TB SSD, 14"" FHD, Win11P64, Webcam, Touchscreen, Manufacturer Refurbished",$634.99,,https://www.target.com/p/dell-latitude-9410-2-in-1-core-i7-10610u-1-8ghz-16gb-1tb-ssd-14-fhd-win11p64-webcam-touchscreen-manufacturer-refurbished/-/A-93712128#lnk=sametab,Target
"Dell Precision 5540 Laptop, Core i7-9750H 2.6GHz, 32GB, 1TB NVMe, 15.6"" FHD, WIN11P64, CAM, Nvidia Quadro T1000 4GB, Manufacturer Refurbished",$754.99,,https://www.target.com/p/dell-precision-5540-laptop-core-i7-9750h-2-6ghz-32gb-1tb-nvme-15-6-fhd-win11p64-cam-nvidia-quadro-t1000-4gb-manufacturer-refurbished/-/A-90227895#lnk=sametab,Target
"Dell 3500 Laptop, Core i7-8565U 1.8GHz, 16GB, 512GB SSD-2.5, 15.6inch FHD, Win11P64, Webcam, Manufacturer Refurbished",$603.99,,https://www.target.com/p/dell-3500-laptop-core-i7-8565u-1-8ghz-16gb-512gb-ssd-2-5-15-6inch-fhd-win11p64-webwebcam-a-grade-manufacturer-refurbished/-/A-88240380#lnk=sametab,Target
"Dell Precision 5540 Laptop, Core i7-9750H 2.6GHz, 32GB, 512GB SSD, 15.6"" FHD, Win11P64, CAM, NVIDIA Quadro T1000 4GB, Manufacturer Refurbished",$711.99,,https://www.target.com/p/dell-precision-5540-laptop-core-i7-9750h-2-6ghz-32gb-512gb-ssd-15-6-fhd-win11p64-cam-nvidia-quadro-t1000-4gb-manufacturer-refurbished/-/A-89441097#lnk=sametab,Target
